Agency,Bureau,Account,Program,Cohort Year,Original Subsidy Rate (%),Current Reestimated Rate (%),Change Due to Interest Rates (pct pts),Change Due to Technical (pct pts),Current Reestimate Amt ($K),Net Lifetime Reestimate ($K),Net Lifetime Reest Excl Interest ($K),Total Disbursements ($K),Outstanding Balance ($K)
Department of Transportation,Office of the Secretary,TIFIA Highway Trust Fund,TIFIA Direct Loans,2013,8.87,-6.53,-9.2,-6.2,15243,-245415,-224451,1636703,1014922
Department of Transportation,Office of the Secretary,TIFIA Highway Trust Fund,TIFIA Direct Loans,2014,6.05,0.97,-14.74,9.66,-1537,-354936,-341770,6795350,1974335
Department of Transportation,Office of the Secretary,TIFIA Highway Trust Fund,TIFIA Direct Loans,2015,9.35,6.49,-12.48,9.62,9913,-47630,-49545,1674373,934992
Department of Transportation,Office of the Secretary,TIFIA Highway Trust Fund,TIFIA Direct Loans,2016,4.55,1.72,-3.93,1.1,-19183,-59576,-51889,1048981,824217
Department of Transportation,Office of the Secretary,TIFIA Highway Trust Fund,TIFIA Direct Loans,2017,6.12,-1.25,-16.69,9.32,32392,-168833,-174149,1880240,1381824
Department of Transportation,Office of the Secretary,TIFIA Highway Trust Fund,TIFIA Direct Loans,2018,9.74,-6.09,-13.19,-2.64,23253,-209748,-211273,1645055,1362618
Department of Transportation,Office of the Secretary,TIFIA Highway Trust Fund,TIFIA Direct Loans,2020,1.34,18.93,-4.08,21.67,379,112922,104357,632077,629012
Department of Transportation,Office of the Secretary,TIFIA Highway Trust Fund,TIFIA Direct Loans,2021,-0.71,15.47,-12.31,28.49,199132,1466351,1323511,6360915,6481322
Department of Transportation,Office of the Secretary,TIFIA Highway Trust Fund,TIFIA Direct Loans,2022,-2.21,-2.55,3.05,-3.38,-46750,81929,74587,2707813,2725579
Department of Transportation,Office of the Secretary,TIFIA Highway Trust Fund,TIFIA Direct Loans,2023,1.17,-12.04,4.08,-17.29,-20936,-20970,-21293,355352,353793
Department of Transportation,Office of the Secretary,TIFIA Highway Trust Fund,TIFIA Direct Loans,2024,4.25,4.1,,-0.15,1087,1087,850,15003,15003
Department of Transportation,Office of the Secretary,TIFIA General Fund,TIFIA TIGER Direct Loans,2013,7.41,7.3,4.89,-5,-2256,5230,10020,484200,388049
Department of Transportation,Office of the Secretary,Railroad Rehabilitation and Improvement Program,Railroad Rehabilitation and Improvement Financing Direct Loans,2002,0,-2.41,-6.22,3.81,-24,-17,53,101921,389
Department of Transportation,Office of the Secretary,Railroad Rehabilitation and Improvement Program,Railroad Rehabilitation and Improvement Financing Direct Loans,2003,0,-11.2,-8.32,-2.88,46,-282,-217,13300,
Department of Transportation,Office of the Secretary,Railroad Rehabilitation and Improvement Program,Railroad Rehabilitation and Improvement Financing Direct Loans,2005,0,13.5,3.25,10.24,-1001,28620,14207,129746,42943
Department of Transportation,Office of the Secretary,Railroad Rehabilitation and Improvement Program,Railroad Rehabilitation and Improvement Financing Direct Loans,2007,0,-2.56,-2.76,0.2,8,141,-960,117057,
Department of Transportation,Office of the Secretary,Railroad Rehabilitation and Improvement Program,Railroad Rehabilitation and Improvement Financing Direct Loans,2009,0,-2.41,-7.03,4.62,200,3040,-7277,100858,
Department of Transportation,Office of the Secretary,Railroad Rehabilitation and Improvement Program,Railroad Rehabilitation and Improvement Financing Direct Loans,2010,0,5.46,-2.96,8.42,-185,970,897,170563,11801
Department of Transportation,Office of the Secretary,Railroad Rehabilitation and Improvement Program,Railroad Rehabilitation and Improvement Financing Direct Loans,2011,0,-6.1,2.29,-8.39,14,-44,-317,470584,
Department of Transportation,Office of the Secretary,Railroad Rehabilitation and Improvement Program,Railroad Rehabilitation and Improvement Financing Direct Loans,2012,-2.12,-2.94,3.72,-4.55,75,2505,-10341,138358,105467
Department of Transportation,Office of the Secretary,Railroad Rehabilitation and Improvement Program,Railroad Rehabilitation and Improvement Financing Direct Loans,2015,-2.1,-7.05,0.21,-5.16,-17,-382,-471,697679,5372
Department of Transportation,Office of the Secretary,Railroad Rehabilitation and Improvement Program,Railroad Rehabilitation and Improvement Financing Direct Loans,2016,0,-2.93,5.8,-8.73,-1640,-61596,-55632,1124480,1056056
Department of Transportation,Office of the Secretary,Railroad Rehabilitation and Improvement Program,Railroad Rehabilitation and Improvement Financing Direct Loans,2019,-1.04,-2.8,-2.5,0.74,352,1120,-320,17434,5510
Department of Transportation,Office of the Secretary,Railroad Rehabilitation and Improvement Program,Railroad Rehabilitation and Improvement Financing Direct Loans,2020,-0.25,16.12,8.01,8.37,29191,134466,108384,782365,711804
Department of Transportation,Office of the Secretary,Railroad Rehabilitation and Improvement Program,Railroad Rehabilitation and Improvement Financing Direct Loans,2021,-1.61,3.11,,4.71,11017,12662,11544,310680,310680
Department of Transportation,Office of the Secretary,Railroad Rehabilitation and Improvement Program,Railroad Rehabilitation and Improvement Financing Direct Loans,2022,-2.69,7.96,-17.97,28.62,23355,20454,19344,200000,200000
Department of Transportation,Office of the Secretary,Railroad Rehabilitation and Improvement Program,Railroad Rehabilitation and Improvement Financing Direct Loans,2023,-0.76,1.37,4.01,-1.88,-8,718,692,27443,27443
Department of Transportation,Office of the Secretary,Railroad Rehabilitation and Improvement Program,Railroad Rehabilitation and Improvement Financing Direct Loans,2024,-1.14,-0.82,28.59,-28.27,-50,-50,-48,5954,5954
Department of Transportation,Maritime Administration,Maritime Guaranteed Loan (Title XI),Federal Ship Financing FFB Loan Guarantees,2020,-0.58,-3.39,-23.33,20.52,-2643,-5917,-9085,325527,270118
Department of Transportation,Maritime Administration,Maritime Guaranteed Loan (Title XI),Federal Ship Financing FFB Loan Guarantees,2022,-2.51,-17.57,-15.67,0.61,-4,-8078,-7657,51458,47257
Department of the Treasury,Departmental Offices,Economic Stabilization,13(3) Municipal Liquidity Facility,2020,0,,,,,235731,66294,17500000,
Department of the Treasury,Departmental Offices,Economic Stabilization,13(3) Main Street Lending Program,2020,23.54,,-7.31,-16.23,,-16619559,-16556527,37500000,4958350
Department of the Treasury,Departmental Offices,Economic Stabilization,13(3) Term Asset-Backed Securities Loan Facility,2020,1.26,0.01,-1.26,0.01,533,-39401,-111980,10000000,
Department of the Treasury,Departmental Offices,Economic Stabilization,Businesses Critical to National Security,2020,45.56,,-6.71,-38.85,,-318927,-316746,700000,22111
Department of the Treasury,Departmental Offices,Economic Stabilization,Businesses Critical to National Security,2021,4.7,,-1.24,-3.46,,-822,-1133,35934,34695
Department of the Treasury,Departmental Offices,Economic Stabilization,"Passenger Carriers, Large",2020,9.42,,-1.44,-7.98,,-148185,-147082,1575000,
Department of the Treasury,Departmental Offices,Economic Stabilization,"Passenger Carriers, Small",2021,1.11,,-1.11,,,-63,-2989,325400,147218
Department of the Treasury,Departmental Offices,Economic Stabilization,MRO and Ticketing Agencies,2021,8.62,12.33,-3.16,6.87,-124,1850,1575,39538,18122
Department of the Treasury,Departmental Offices,Economic Stabilization,Cargo Carriers,2021,7.75,80.6,-2.73,75.58,-54,1638,1587,2112,2704
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,1996,44.95,34.05,-8.55,-2.35,,-1648,85,6623,
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,1997,32.14,32.28,-2.41,2.55,,-22,60,1100,
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,1998,40.93,38.44,6.03,-8.52,-15,-576,-510,6150,
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,1999,46.3,30.34,-10.95,-5.01,4,-1444,-889,12395,1610
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2000,38.13,37.52,-2.45,1.84,-9,-279,-122,12105,924
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2001,37.46,26.22,-2.19,-9.05,,-1792,-1299,12877,
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2002,38.49,22.51,-1.34,-14.64,,-1820,-1231,8260,
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2003,32.85,13.62,-3.44,-15.79,,-542,-469,2615,
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2004,32.9,16.51,-3.27,-13.12,,-1143,-803,4994,
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2005,37.04,32.29,5.6,-10.35,-10,-712,-62,7038,1833
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2006,38.38,29.19,-7.95,-1.24,,-83,-91,1040,
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2007,36.88,6.99,-14.37,-15.52,,-408,-325,1147,
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2008,34.6,10.13,1.37,-25.84,,-954,-858,3556,
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2012,40.26,-0.39,-32.15,-8.5,-15,-6177,-5789,14161,2776
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2013,32.15,5.63,-10.17,-16.35,-226,-3333,-3025,11829,1769
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2014,8.89,7.59,0.88,-2.18,-188,-353,-201,15968,14258
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2015,12.41,3.01,-3.48,-5.92,-68,-891,-1036,9893,9293
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2016,12.38,5.54,-4.63,-2.21,-16,-173,-158,2390,2390
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2017,11.53,13.46,3.1,-1.17,-28,96,117,6507,6313
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2018,10.72,10.86,4.97,-4.83,-15,-4,3,2396,2396
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2019,10.11,8.66,2.35,-3.8,-1,-1,-1,54,54
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2020,9.59,-5.63,-13.61,-1.61,-16,-297,-359,2370,2370
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2021,9.5,10.97,-4.05,5.52,-*,2,2,111,111
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2022,12.61,22.99,13.82,-3.44,-2,182,186,1810,1810
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Community Development Financial Institutions Prog Fin Assist.,2023,9.08,26.55,19.59,-2.12,329,396,413,2386,2386
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Bond Guarantee Program,2013,-2.35,-3.6,-4.09,2.83,3045,1029,-17508,325000,209439
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Bond Guarantee Program,2014,-2.72,-1.58,-1.3,2.44,-17,3305,45,200000,105977
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Bond Guarantee Program,2015,-1.34,-4.33,-10.76,7.77,-27,-2574,-15801,285108,218022
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Bond Guarantee Program,2016,-2.49,-4.91,-6.3,3.89,-34,-837,-6964,238354,190029
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Bond Guarantee Program,2017,-2.82,-4,-8.52,7.34,-424,2479,-3690,167994,123265
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Bond Guarantee Program,2018,-4.3,-2.99,-12.01,13.32,-20,2346,1361,150000,120545
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Bond Guarantee Program,2019,-4.75,-7.78,-0.05,-2.98,-418,-1441,-2811,95430,94319
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Bond Guarantee Program,2020,-3.34,-6.05,,-2.71,-2241,-2396,-1802,77000,74963
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Bond Guarantee Program,2021,-4.62,-5.62,,-1,-694,-1460,-735,62194,58968
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Bond Guarantee Program,2022,-5.53,-7.02,,-1.49,-2001,-2251,-1650,113542,111484
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund,Bond Guarantee Program,2023,-4.56,-2.04,,2.52,434,434,411,17225,17225
Department of the Treasury,Departmental Offices,Troubled Asset Relief Program Equity Purchase Program,Capital Purchase Program,2009,26.99,-6.66,-9.39,-24.26,-28,-73607261,-65740945,204617573,
Department of the Treasury,Departmental Offices,Troubled Asset Relief Program Equity Purchase Program,Capital Purchase Program,2010,5.77,4.15,17.02,-18.64,,-33715,-19689,277153,
Department of the Treasury,Departmental Offices,Troubled Asset Relief Program Equity Purchase Program,Community Development Capital Initiative,2010,48.06,14.94,3.86,-36.98,,-231423,-180403,570073,
Department of the Treasury,Departmental Offices,Small Business Lending Fund,Small Business Lending Fund Investments,2011,7.24,-0.92,-1.44,-6.72,-5215,-328231,-321861,4027704,67399
Department of the Treasury,Departmental Offices,GSE Mortgage-backed Securities Purchase,New Issue Bond Program SF,2010,-0.05,9.09,2.62,6.52,1368,1207647,1229228,12432648,110674
Department of the Treasury,Departmental Offices,GSE Mortgage-backed Securities Purchase,New Issue Bond Program MF,2010,-2.55,19.35,16.36,5.54,-4499,606176,680750,2875950,935490
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired Direct Loans,2007,10.43,30.43,-2.69,22.69,-449,18523,16104,77972,8368
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired Direct Loans,2008,8.84,26.73,-7.31,25.2,-714,12159,9578,52025,5346
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired Direct Loans,2009,3.04,21.89,-12.62,31.47,137,2375,1876,9775,1033
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired Direct Loans,2010,-10.15,11.02,7.22,13.95,16,1996,1330,7005,1712
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired Direct Loans,2011,-0.13,7.75,-7.03,14.91,26,715,738,9382,3144
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired Direct Loans,2012,4.09,12.59,-10.9,19.4,-37,617,411,4762,1006
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired Direct Loans,2013,-2.29,11.53,-9.56,23.38,-10,345,311,2230,834
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired Direct Loans,2014,-5,17.92,4.81,18.11,386,1093,1092,4992,1530
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired Direct Loans,2015,-5.06,1.1,-12.19,18.35,-34,6,81,7422,4760
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired Direct Loans,2016,1.71,37.97,-10.37,46.63,-91,3154,2813,7752,3991
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired Direct Loans,2017,1.92,-6.98,-8.2,-0.7,97,-801,-633,7482,5206
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired Direct Loans,2018,7.94,26.6,-1.65,20.3,162,958,975,4845,3644
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired Direct Loans,2019,6.33,8.5,-2.23,4.4,254,634,143,2116,1450
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired Direct Loans,2024,11.99,26.35,3.36,11,-1059474,-1059474,-1004223,402040,402040
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Transitional Housing Direct Loan,2005,99.24,32.83,0.14,-66.55,-291,-4879,-2779,5062,
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Vendee Direct Loans,2007,-3.46,-2.1,-0.38,1.74,56,1056,548,47745,87
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Vendee Direct Loans,2008,-1.59,-1.91,-4.66,4.34,-201,679,-386,79539,928
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Vendee Direct Loans,2009,-3.29,-3.57,-5.6,5.32,-235,-905,-838,78555,
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Vendee Direct Loans,2010,-4.45,-0.22,0.82,3.41,-39,7388,9180,222474,352
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Vendee Direct Loans,2011,-2.42,0.08,-0.82,3.32,74,9430,6247,253560,4337
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Vendee Direct Loans,2012,-2.12,-12.3,-1.25,-8.93,449,-15205,-16025,157092,37117
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Vendee Direct Loans,2013,-2.55,-34.25,-1.16,-30.54,,-53,-48,137,
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Vendee Direct Loans,2014,-24.13,7.63,7.07,24.69,7,340,265,844,502
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Vendee Direct Loans,2015,-20.79,-17.71,-18.23,21.31,19,529,333,856,645
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Vendee Direct Loans,2018,-26.49,10.9,-3.25,40.64,-3,5,11,99,87
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Vendee Direct Loans,2019,-5.47,-18.36,-2.84,-10.05,2105,-8192,-8854,68542,31304
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Vendee Direct Loans,2020,8.51,-18.64,-29.69,2.55,3210,-12322,-13322,47846,26972
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Vendee Direct Loans,2021,-22.54,-18.86,-10.59,14.27,209,160,109,6935,5779
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Vendee Direct Loans,2022,-27.09,-11.89,12.9,2.3,126,743,827,4976,4615
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Vendee Direct Loans,2023,-26.29,-22.89,18.73,-15.33,-1362,14,253,12806,12000
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Vendee Direct Loans,2024,-27.93,-14.88,5.95,7.1,1717,1717,1713,12353,10629
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired and Vendee Loan Reestimates,1992,7.08,-2.34,0.41,-9.83,-65,-211143,-129675,1418895,45
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired and Vendee Loan Reestimates,1993,8.92,1.43,-0.32,-7.17,-11,-130838,-121854,1597138,125
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired and Vendee Loan Reestimates,1994,2.11,14.08,0.53,11.44,-31,324752,186697,1560485,86
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired and Vendee Loan Reestimates,1995,1.83,1.17,0.49,-1.15,1028,13629,-10074,1526404,196
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired and Vendee Loan Reestimates,1996,2.2,3.77,-1.32,2.89,-1403,59205,20219,1327811,325
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired and Vendee Loan Reestimates,1997,1.33,5.27,1.99,1.95,-1,95835,50173,1284544,158
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired and Vendee Loan Reestimates,1998,2.36,2.52,-0.35,0.51,-202,20960,2935,1369895,1240
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired and Vendee Loan Reestimates,1999,7.78,8.47,0.18,0.51,-241,77059,14761,1633317,2576
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired and Vendee Loan Reestimates,2000,2.99,4.16,0.24,0.93,-1052,84502,17743,1426752,3566
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired and Vendee Loan Reestimates,2001,2.16,-1.22,-0.53,-2.85,266,-10226,-46148,1235284,3813
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired and Vendee Loan Reestimates,2002,0.86,-3.75,-1.38,-3.23,580,-25763,-47350,1019212,6180
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired and Vendee Loan Reestimates,2003,-1.39,-2.43,-1.79,0.75,46,-6120,-4947,516488,4690
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired and Vendee Loan Reestimates,2004,-1.36,34.95,-1.79,38.1,2505,52154,53577,156133,5390
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired and Vendee Loan Reestimates,2005,-5.12,4.4,-1.25,10.77,122,48613,-935,191821,6523
Department of Veterans Affairs,Benefits Programs,Veterans Housing Benefit Program Fund,Acquired and Vendee Loan Reestimates,2006,1.97,11.88,-4.72,14.63,-963,1592,15677,158563,7739
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,1995,7.72,6.3,(3),-1.42,6,116,-79,5595,5
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,1996,7.72,8.46,(3),0.74,4,852,70,6467,155
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,1997,7.72,3.43,(3),-4.29,2,239,16,5558,77
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,1998,7.72,6.7,(3),-1.02,3,158,-29,2702,21
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,1999,7.72,-22.76,(3),-30.48,1,-1052,-798,2882,7
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2000,7.72,0.02,(3),-7.7,4,-36,-140,1555,69
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2001,7.72,-20.62,(3),-28.34,-3,-572,-392,1351,237
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2002,7.72,-14.02,(3),-21.74,-5,-1182,-1174,5700,630
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2003,-8.96,2.92,-10.34,22.22,513,1548,727,10733,1205
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2004,0.28,7.04,-14.38,21.14,73,966,374,5510,944
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2005,-7.75,7,-6.26,21.01,11,1613,541,4962,763
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2006,-13.79,6.29,-2.95,23.03,-19,1022,583,5016,761
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2007,-13.46,1.23,-5.56,20.25,260,1050,738,7414,662
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2008,-14.48,-2.92,-11.55,23.11,1310,1467,697,6392,367
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2009,-10.07,-0.22,-15.2,25.05,835,2458,1726,18066,6469
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2010,-32.78,3.05,6.4,29.43,271,5413,5561,15794,5789
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2011,-13.65,-7.76,-6.1,11.99,211,437,420,7368,3155
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2012,-11.97,-8.43,-9.32,12.86,88,293,277,5379,3325
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2013,-17.84,-6.7,-5.9,17.04,55,759,763,5736,2570
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2014,-16.75,-5.2,3.15,8.4,75,647,551,5623,2181
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2015,-17.04,-3.47,-7.48,21.05,-222,476,448,3469,1683
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2016,-18.08,3.55,-8.39,30.02,16,817,683,2767,1349
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2017,-18.62,-9.92,-6.69,15.39,123,271,357,4519,1997
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2018,-20.22,0.87,-1.1,22.19,-68,1064,962,4654,904
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2019,-11.89,-8.26,-1.91,5.54,-24,398,200,5277,1745
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2020,-5.23,-11.77,-24.55,18,61,-481,-483,6603,5342
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2021,-20.25,-11.08,-8.23,17.4,419,1124,1050,12123,10367
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2022,-17.62,0.45,12.04,6.03,29,1953,2155,11463,8385
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2023,-17.15,11.34,13.37,15.12,714,2426,2427,8690,5628
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Native American Direct Loans,2024,-20.26,10.99,3.95,27.31,2393,2393,2378,8122,3869
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Vocational Rehabilitation,2023,0.76,-1.83,3.39,-5.97,-37,-33,-14,577,93
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan,Vocational Rehabilitation,2024,3.87,5.24,0.41,0.97,10,4,7,544,344
Department of Veterans Affairs,Environmental Protection Agency,Water Infrastructure Finance and Innovation,Water Infrastructure Direct Loans,2018,0.34,22.74,-17.15,39.55,19844,19844,14594,87369,87369
Department of Veterans Affairs,Environmental Protection Agency,Water Infrastructure Finance and Innovation,Water Infrastructure Direct Loans,2019,0.82,2.14,-0.73,2.05,-1278,16371,6843,689936,655322
Department of Veterans Affairs,Environmental Protection Agency,Water Infrastructure Finance and Innovation,Water Infrastructure Direct Loans,2020,0.74,35.75,-3.1,38.12,655787,1405298,1203288,3571465,3594990
Department of Veterans Affairs,Environmental Protection Agency,Water Infrastructure Finance and Innovation,Water Infrastructure Direct Loans,2021,0.83,16.76,1.77,14.16,347790,518340,459610,2186690,2216983
Department of Veterans Affairs,Environmental Protection Agency,Water Infrastructure Finance and Innovation,Water Infrastructure Direct Loans,2022,0.47,-16.45,1.34,-18.26,-95300,-108338,-103969,796791,805602
